Probe	Gene	c151	c152	c153	c155	c156	c159	c160	c161	c162	c163	c164	c165	c166	c167	c168	c169	c170	c171	c172	c173	c174	c175	c179	c180	c181	c184	c185	c186	c188	c189	c191	c192	c193	c194	c195	c197	c199	c200	c201	c202	c203	c205	c206	c207	c208	d122	d123	d124	d125	d126	d128	d130	d131	d132	d133	d134	d136	d137	d138	d139	d140	d141	d142	d143	d144	d145	d148	d149	d150	u127	u129	u135	u146	u147	u154	u157	u158	u176	u177	u178	u182	u183	u187	u190	u196	u198	u204
cg11818853	GRB2	0.9354123	0.9152526	0.9127528	0.9160004	0.8960327	0.8982679	0.9095724	0.9068439	0.8956016	0.9444923	0.9237053	0.922191	0.8870988	0.894026	0.9284809	0.9220947	0.927146	0.8838611	0.9100612	0.8860993	0.8976153	0.9142987	0.9296668	0.8982691	0.9219269	0.9141369	0.9117063	0.8958032	0.92041	0.9281517	0.8933181	0.9419679	0.9178588	0.9222589	0.9152565	0.9085691	0.8958127	0.9169908	0.9084039	0.8661758	0.9335443	0.9025091	0.9241763	0.9112676	0.9162123	0.9256198	0.9301957	0.9211542	0.8961074	0.9153969	0.9381045	0.9459056	0.9036017	0.9009901	0.9193977	0.8968192	0.91462	0.9064865	0.9123204	0.8894364	0.9208287	0.897989	0.9071069	0.9363911	0.9256642	0.9202977	0.9162901	0.915592	0.9236237	0.8997117	0.9203847	0.9386926	0.9079365	0.9184616	0.8825735	0.9029271	0.8766979	0.8880149	0.9346662	0.9194975	0.9000719	0.8709351	0.8753489	0.9116377	0.926327	0.9167659	0.9300756
cg12477880	RUNX1	0.4402726	0.5547483	0.1555427	0.4854976	0.4476876	0.05246161	0.42108	0.2616643	0.6086491	0.2761255	0.3807767	0.5623449	0.6739584	0.1837503	0.1608856	0.411614	0.553915	0.4950065	0.538716	0.3941507	0.5167369	0.4902128	0.3247548	0.16996	0.2197248	0.4518114	0.2665032	0.5261219	0.1175874	0.2461185	0.3744977	0.2496017	0.508041	0.3747018	0.5549448	0.4755796	0.4711869	0.3943773	0.41429	0.1140135	0.4482298	0.2749541	0.3479545	0.409947	0.1602637	0.7246219	0.7733539	0.6439224	0.6749825	0.7799398	0.8347738	0.6628635	0.7030311	0.6674405	0.8522321	0.6840656	0.7172258	0.910746	0.7602435	0.7446954	0.8009746	0.9164166	0.7823583	0.8474603	0.6203606	0.7544822	0.7469646	0.631698	0.7975559	0.7621359	0.8604171	0.8760937	0.7254564	0.8451124	0.1179022	0.4827156	0.3997415	0.6026136	0.533197	0.1384581	0.1870318	0.3078407	0.4287038	0.1304747	0.1744264	0.1613166	0.4941247
cg14633527	SHISA5	0.02875065	0.03615882	0.04418621	0.02389433	0.01580679	0.03049319	0.0170297	0.01211318	0.01087819	0.02640025	0.02664645	0.01154519	0.01911107	0.02419622	0.0239802	0.01690758	0.02021963	0.02110432	0.02639867	0.03555934	0.02413402	0.02341634	0.02897949	0.01825575	0.02463931	0.006601777	0.02053935	0.02437999	0.02505906	0.01932105	0.01365932	0.02316602	0.01231331	0.01675912	0.02505347	0.02190476	0.01608923	0.02989261	0.01828612	0.02532185	0.02416286	0.01835749	0.01675627	0.01208196	0.01945016	0.03165335	0.03150613	0.02702703	0.02238982	0.02104414	0.02963785	0.02603429	0.02745303	0.02265985	0.01347058	0.009588212	0.01451517	0.0214904	0.01798924	0.02352292	0.0251446	0.01745718	0.01693879	0.02126207	0.01793369	0.01327864	0.02499755	0.02093518	0.01599039	0.01639952	0.0182116	0.01237919	0.02293814	0.02441821	0.03254848	0.02827846	0.0247687	0.02047063	0.02751969	0.01817531	0.01714835	0.01048431	0.01880374	0.01529832	0.02436917	0.02298947	0.021941
cg05451359	MIR548H4	0.3951519	0.3959398	0.3644746	0.3623477	0.3293177	0.3603663	0.334329	0.383811	0.3076699	0.3482679	0.3441159	0.3608328	0.3814026	0.3640812	0.3902148	0.3476162	0.3531889	0.3614776	0.3520817	0.3889095	0.3596454	0.3505367	0.35895	0.3621445	0.4164953	0.4013118	0.301223	0.3605345	0.3552422	0.3384349	0.2608577	0.3213225	0.3149545	0.355563	0.3709556	0.40648	0.4046875	0.3847557	0.3783802	0.3443393	0.330773	0.3167319	0.3882834	0.3618601	0.302432	0.3792101	0.3870519	0.3509609	0.3624626	0.3117917	0.340387	0.3416903	0.3199016	0.33665	0.2711769	0.3420656	0.3187421	0.3305641	0.3487591	0.3484558	0.3484632	0.331403	0.3647293	0.2972208	0.3609342	0.347921	0.3459543	0.3358915	0.3639584	0.3305149	0.3253522	0.2960312	0.3357426	0.3263085	0.3499243	0.3711085	0.300837	0.3657199	0.3665319	0.3749639	0.3736735	0.3305847	0.2950028	0.3720835	0.3512037	0.3966551	0.3603822
cg04982748	HELB	0.06431661	0.05789041	0.07570765	0.04995905	0.05416598	0.0497187	0.03928411	0.05528715	0.04447835	0.04462986	0.04835761	0.0497727	0.04165176	0.04700566	0.04728694	0.04364506	0.04419638	0.03485605	0.03901795	0.04295738	0.04042597	0.04647169	0.04261781	0.07380826	0.06042575	0.04924988	0.05248413	0.06230743	0.05172414	0.0452952	0.03970725	0.04189221	0.03780801	0.04840438	0.04557726	0.04216115	0.03526162	0.03472495	0.03766056	0.04464502	0.03915465	0.0470762	0.04256387	0.03841832	0.04317464	0.06888658	0.07129327	0.07825794	0.06975616	0.04991547	0.05057542	0.0442732	0.05260441	0.05135938	0.03530545	0.04871135	0.03710522	0.04378392	0.04066942	0.04879694	0.03269458	0.03679973	0.03821887	0.03724186	0.03826632	0.04312465	0.0445292	0.03514739	0.04106843	0.05938433	0.04578264	0.0452443	0.04365416	0.04749755	0.05663717	0.05338809	0.04863974	0.04108584	0.04190466	0.04314405	0.06628621	0.0493674	0.0472837	0.04632254	0.04836543	0.04635509	0.04920382
cg12125567	STXBP6	0.8711916	0.9036846	0.9030874	0.8802679	0.8767798	0.8680348	0.8800105	0.8996572	0.897269	0.8965713	0.8686347	0.9128993	0.9043531	0.8967487	0.9179025	0.8717474	0.89897	0.8982827	0.8871047	0.8915792	0.9287026	0.9157966	0.8955599	0.8598311	0.9052316	0.882147	0.8861123	0.9045921	0.8893945	0.8906528	0.8906679	0.8953817	0.9021739	0.9161173	0.8975139	0.8817247	0.8595822	0.8961282	0.9176323	0.9125676	0.8891795	0.9064143	0.9016348	0.8929322	0.9127179	0.9195505	0.8958628	0.8708422	0.814666	0.8555017	0.8986931	0.8995215	0.8717443	0.8896189	0.879698	0.9009511	0.9140707	0.8937285	0.8917673	0.9031316	0.8981528	0.8922462	0.8727902	0.9001898	0.9013633	0.9046555	0.891371	0.8799408	0.9052901	0.8759305	0.9018396	0.9000514	0.9124068	0.9111272	0.8429481	0.8965178	0.8828269	0.9238233	0.8903926	0.9008967	0.8952683	0.8955224	0.8843468	0.8601238	0.9068527	0.8811315	0.9154694
cg00925871	MTPAP	0.02538755	0.02285655	0.02878684	0.02840596	0.02172637	0.02484138	0.02548668	0.0431332	0.02223237	0.02677094	0.01652277	0.01315012	0.02688241	0.03364817	0.03123079	0.02244898	0.02975207	0.03524173	0.02025756	0.03581899	0.02498205	0.02512925	0.02808319	0.03671013	0.04492583	0.06117382	0.03937247	0.02284729	0.03409091	0.02692976	0.02701887	0.03313868	0.02230914	0.02581756	0.02083612	0.02731009	0.02232544	0.01604987	0.0247518	0.01536859	0.01388487	0.02393857	0.02779984	0.02154766	0.02707851	0.02923751	0.03723712	0.02384045	0.039523	0.02765141	0.0232294	0.0345679	0.02764251	0.02637109	0.02970923	0.01871311	0.01868149	0.0200693	0.03836847	0.01967703	0.02751151	0.01347803	0.02262069	0.02820282	0.02554896	0.01915207	0.03270955	0.01033295	0.0278936	0.02866242	0.02156102	0.01683007	0.02297537	0.03097188	0.03841979	0.0363725	0.03467477	0.01997376	0.02429501	0.02879461	0.01642129	0.03469481	0.03732368	0.04105203	0.02776856	0.01892942	0.03737564
cg00920043	UBIAD1	0.05211562	0.05509541	0.06104413	0.03919373	0.03630844	0.0434506	0.03955492	0.04306716	0.03473054	0.04899677	0.0369638	0.03716135	0.06605104	0.0583238	0.06107988	0.05688697	0.05844311	0.05677124	0.04904501	0.06335121	0.06378245	0.06091105	0.06210287	0.04495588	0.04987424	0.04607796	0.04621005	0.05323147	0.02184512	0.04499908	0.03703426	0.04519086	0.03295201	0.02255762	0.07395305	0.06178265	0.05686807	0.0555034	0.05621677	0.05768659	0.04818875	0.05330667	0.0656405	0.05538991	0.06357857	0.04915973	0.05876219	0.06286182	0.04354059	0.04801616	0.04504927	0.03989103	0.03797649	0.04434872	0.03347211	0.036279	0.03684749	0.05734767	0.0755921	0.06203021	0.05206965	0.04775948	0.0578725	0.05989511	0.06889486	0.05125198	0.06154526	0.053404	0.05227723	0.05006766	0.0326327	0.03622768	0.05526102	0.05408422	0.04548979	0.04599244	0.04063375	0.05892291	0.06901275	0.0648551	0.04408327	0.04713354	0.04335162	0.03715885	0.06415904	0.05745578	0.05662702
cg26269677	CRHBP	0.4307086	0.516974	0.4962077	0.4414271	0.4954259	0.4878635	0.4530752	0.5582241	0.4804362	0.5155084	0.4439708	0.5304878	0.4951087	0.6933923	0.4800244	0.4251412	0.4390445	0.522082	0.4992554	0.4506965	0.4625742	0.5064844	0.4525424	0.4831667	0.5160202	0.5026639	0.5125365	0.3511996	0.4755664	0.4648923	0.4739321	0.6644984	0.4539601	0.6088269	0.4272212	0.501178	0.5959359	0.4654998	0.4433191	0.6057069	0.3949262	0.2391931	0.4166337	0.3989596	0.3850034	0.8355091	0.8688797	0.7694732	0.787027	0.728999	0.7217112	0.8372801	0.7835017	0.7356563	0.6729798	0.7980469	0.8268424	0.7798399	0.7890625	0.7854578	0.7347328	0.7773438	0.7068697	0.7393715	0.7665493	0.6421356	0.7362171	0.7407665	0.8189394	0.8112195	0.739994	0.7933131	0.8074338	0.7078549	0.5447001	0.4415491	0.5223214	0.3920851	0.5051146	0.525757	0.4848799	0.416771	0.6009009	0.4143462	0.5173088	0.4440058	0.4042847
cg10146935	SAMD11	0.3709538	0.1506264	0.3222833	0.4103184	0.3491344	0.08172408	0.1402653	0.08583216	0.1354428	0.2391337	0.2746426	0.3810155	0.1866932	0.08639551	0.1979572	0.2343712	0.2793463	0.09545399	0.2308385	0.282198	0.4319114	0.3624861	0.3106254	0.5045063	0.2118613	0.157318	0.2420099	0.4072749	0.1941092	0.1733498	0.1250733	0.4000942	0.4789447	0.1336461	0.1599359	0.1833786	0.5500833	0.1062783	0.05621281	0.4864911	0.5356532	0.09602758	0.2845857	0.2281721	0.1784957	0.4298218	0.6298707	0.6731302	0.6623045	0.6673019	0.4521568	0.3874411	0.3434376	0.5050206	0.5749442	0.5430687	0.702365	0.4085169	0.3344592	0.5428953	0.3379154	0.5811011	0.504963	0.3515555	0.4345377	0.7380277	0.5174162	0.4262079	0.6288173	0.5862331	0.4130142	0.8438413	0.7382066	0.2642089	0.1294927	0.1826845	0.3816573	0.1728177	0.260499	0.2559788	0.5031003	0.2877054	0.1940712	0.2185044	0.4640075	0.05137051	0.2990636
cg16134430	IFNAR2	0.9066218	0.9138205	0.8481227	0.9308162	0.8909769	0.9209604	0.8964662	0.9367949	0.8996624	0.9228321	0.9023973	0.9155399	0.9135417	0.9255599	0.9174681	0.8981212	0.9363461	0.9217747	0.8851975	0.8761511	0.8915303	0.9034898	0.9056488	0.9024225	0.9361322	0.8941098	0.862701	0.9290698	0.9386477	0.9096645	0.90611	0.947745	0.8971569	0.9378713	0.9054532	0.887563	0.8498212	0.8851351	0.8955404	0.8903458	0.8967158	0.8906606	0.9052058	0.9107843	0.9238636	0.8805248	0.9195843	0.8788877	0.8715084	0.8922469	0.8931858	0.888172	0.9288526	0.9037271	0.9086824	0.9084815	0.904104	0.8798156	0.8955714	0.8647385	0.8856471	0.8878886	0.8650801	0.8811266	0.8938923	0.906611	0.9066667	0.889319	0.8778666	0.8743854	0.9021804	0.8988709	0.9019444	0.8842637	0.8971716	0.9038603	0.9213535	0.8938887	0.9039307	0.9024743	0.9119465	0.8855851	0.8877024	0.9085014	0.8960053	0.8991128	0.9054101
cg22709192	HOXC11	0.13168	0.1478079	0.1396316	0.1070553	0.1290241	0.1590243	0.1076095	0.1014306	0.1135584	0.128533	0.1091861	0.1464973	0.1199522	0.1359602	0.1268671	0.1311589	0.1176946	0.147497	0.1161056	0.1249189	0.2356631	0.1263655	0.1267121	0.189165	0.1774365	0.1399502	0.1673513	0.1222229	0.202792	0.1223468	0.1024515	0.1516603	0.1346824	0.1238999	0.1768939	0.1237441	0.1229982	0.1522762	0.09976875	0.1268665	0.1148439	0.09993534	0.1323538	0.1359052	0.1288336	0.1578818	0.186066	0.1205342	0.1589689	0.1767009	0.1412001	0.1361927	0.1194525	0.1154467	0.1093225	0.1476312	0.1121174	0.1296778	0.1273022	0.135854	0.1228661	0.1034954	0.1640065	0.1299628	0.1105534	0.1106448	0.1670045	0.1195502	0.1204901	0.1380181	0.1142727	0.155933	0.1236336	0.125286	0.1361103	0.1253542	0.1021545	0.1117257	0.1354105	0.1193424	0.1471756	0.1588273	0.120951	0.173532	0.127244	0.1852471	0.1146861
cg20993163	CHD5	0.752186	0.7929062	0.758374	0.7921402	0.75072	0.7890425	0.7566214	0.7779474	0.7493599	0.7424519	0.7724957	0.7898083	0.8149204	0.8049468	0.8056401	0.7914633	0.8129513	0.8316641	0.8029084	0.7742369	0.8112298	0.7968435	0.803706	0.7733377	0.8086983	0.778687	0.7147604	0.7584113	0.8004785	0.7949646	0.8070942	0.7876682	0.7525266	0.8313164	0.8119295	0.772042	0.7930667	0.7906365	0.7961444	0.8208307	0.7805907	0.7834566	0.8047203	0.7938049	0.8140255	0.8020825	0.8272459	0.7949003	0.7648746	0.721185	0.7753726	0.7740109	0.7903308	0.8040249	0.7889561	0.7972672	0.7944857	0.7954832	0.8018318	0.8032099	0.8037128	0.7835025	0.7816716	0.7874182	0.8152134	0.7881226	0.7967615	0.778384	0.8085707	0.7708974	0.7982208	0.7490306	0.8134758	0.781568	0.7371978	0.7889668	0.742743	0.80862	0.7986341	0.804401	0.7815806	0.7106687	0.8093997	0.7975021	0.6922743	0.7744572	0.8039433
cg27246129	DLL1	0.3449281	0.4537954	0.5405324	0.5503725	0.5362434	0.6593167	0.6416437	0.5512711	0.5405754	0.4486458	0.537244	0.6969978	0.5112092	0.6009948	0.5623491	0.4535474	0.408329	0.4713288	0.3271343	0.4569772	0.4692658	0.6495261	0.5215443	0.3904369	0.6065039	0.4817359	0.4959321	0.625283	0.5628924	0.3715408	0.5298188	0.3140853	0.6420689	0.6582836	0.592434	0.6763224	0.3341189	0.450464	0.4236789	0.4997152	0.4591968	0.3257409	0.460178	0.5922052	0.4540811	0.6991492	0.8361778	0.9156601	0.7737288	0.8414074	0.8091375	0.8558916	0.7137496	0.7928835	0.8456632	0.6046609	0.6628431	0.8393108	0.8052825	0.8978723	0.7012919	0.7669961	0.8321607	0.7803212	0.7628914	0.4912026	0.7981245	0.8136942	0.7976708	0.8092904	0.9054446	0.8202536	0.8837324	0.7299739	0.525126	0.5273656	0.4895584	0.4054401	0.5008479	0.5289885	0.8060601	0.5146025	0.5533087	0.4497128	0.4935216	0.4086286	0.7282108
cg05365033	CRTC1	0.7309333	0.6900271	0.6022056	0.5805967	0.7555627	0.4693516	0.7520992	0.5521162	0.7771804	0.7474117	0.8678564	0.7197495	0.4875555	0.7362241	0.7929065	0.7416345	0.5213612	0.6822676	0.8334587	0.6319164	0.854644	0.6313232	0.6356126	0.8878355	0.7289115	0.6071992	0.8830418	0.7083279	0.682316	0.5979272	0.5614317	0.8260395	0.9086422	0.6748361	0.5307791	0.8104274	0.5227115	0.7003403	0.4853963	0.8105245	0.7673406	0.7605168	0.6650164	0.4334622	0.4631409	0.5268858	0.5565673	0.648527	0.7915967	0.7442736	0.6408772	0.5037255	0.7151706	0.7395121	0.7759041	0.5862998	0.7042017	0.7503051	0.7910845	0.7773741	0.7220599	0.7332367	0.4958569	0.7816024	0.6980528	0.8113887	0.6558164	0.5820716	0.9008332	0.6657447	0.7642192	0.8483638	0.6913643	0.5196604	0.5642048	0.7806093	0.7341355	0.7021995	0.8417088	0.525375	0.6051929	0.5998461	0.550108	0.6795297	0.8162553	0.6470054	0.7857623
cg05096964	HCCA2	0.0849944	0.08347411	0.09433376	0.07081281	0.06764789	0.07044356	0.06354685	0.07037765	0.04937459	0.06954689	0.06078121	0.05838493	0.05858575	0.05440083	0.07090725	0.05922986	0.05789355	0.06693772	0.05605137	0.06813381	0.05714433	0.05526415	0.05928752	0.08339399	0.08860507	0.06603456	0.06488714	0.07490443	0.06361695	0.06540745	0.05531246	0.05272408	0.06728567	0.06086379	0.05967704	0.06525955	0.05147788	0.054412	0.05418746	0.06581192	0.05072765	0.05173164	0.05753121	0.05604794	0.06364325	0.07979697	0.08423211	0.09107675	0.07629	0.06974267	0.06693336	0.06145806	0.05796159	0.06473251	0.04471939	0.06269653	0.06184109	0.05950653	0.06684972	0.06209351	0.05703671	0.0565776	0.06597745	0.05162926	0.05104334	0.0491367	0.06473318	0.05502513	0.05440029	0.07341874	0.05293408	0.05717456	0.05228686	0.05701078	0.09436422	0.06306218	0.05912142	0.05991604	0.06576928	0.05599729	0.08742024	0.0782494	0.06668416	0.0650574	0.06199177	0.0571951	0.05854655
cg27628849	PHF17	0.6106431	0.69464	0.636572	0.637327	0.600356	0.632844	0.6537714	0.644936	0.6656808	0.6346285	0.6260415	0.6434844	0.6642323	0.6878335	0.6636286	0.6571279	0.6234697	0.6736478	0.656453	0.6054041	0.6482893	0.6548626	0.6159452	0.6676284	0.6467395	0.6393771	0.6225121	0.6381123	0.6391072	0.6448778	0.6573776	0.6667041	0.6366636	0.6739818	0.6746154	0.6670674	0.627445	0.6983375	0.6208178	0.6847724	0.6240575	0.6458121	0.6724984	0.6094644	0.683425	0.7343228	0.6687448	0.6219106	0.6151823	0.5694796	0.6084729	0.6086736	0.6652737	0.633597	0.65958	0.6141813	0.6406319	0.6122881	0.6465274	0.6136649	0.6199095	0.5627956	0.6095452	0.593985	0.6415094	0.6216629	0.6535393	0.6229888	0.6630734	0.6196229	0.652992	0.5743826	0.632106	0.6508316	0.640875	0.6269788	0.6479681	0.6823046	0.6641265	0.622025	0.6688131	0.5644176	0.6587031	0.6462725	0.6467321	0.6352196	0.6751184
cg04027736	HOXA2	0.6051462	0.6635087	0.6170812	0.5876586	0.6533269	0.5587192	0.6452658	0.6047966	0.6219341	0.6660399	0.601167	0.6394584	0.6400641	0.5683783	0.6476321	0.6415998	0.5438322	0.6700627	0.6569685	0.666961	0.5946667	0.6709712	0.6477874	0.6620016	0.6281362	0.6411238	0.749356	0.689891	0.5441704	0.6193761	0.6514872	0.7117968	0.6108122	0.7946053	0.5863048	0.6991357	0.6144578	0.7032991	0.7333159	0.6445153	0.6885378	0.3081967	0.6209416	0.5743978	0.5476244	0.3744452	0.3433046	0.4688039	0.3916442	0.4183271	0.482388	0.3629004	0.3784184	0.3037162	0.3966601	0.4132996	0.3575793	0.3753774	0.3807821	0.3981355	0.4659933	0.2762305	0.407197	0.3220899	0.3085167	0.4133839	0.3945764	0.2069322	0.3148842	0.3883693	0.3952602	0.3900468	0.4361217	0.311104	0.5786076	0.6261861	0.6513181	0.5895264	0.5965801	0.5324302	0.6895723	0.5844816	0.5904109	0.6741619	0.5985301	0.6974226	0.630165
cg03437186	ADCY1	0.1056128	0.1223409	0.1111359	0.1058616	0.1439775	0.1032036	0.1092303	0.08848179	0.1188991	0.1550103	0.09869424	0.131516	0.1017616	0.1367075	0.1199175	0.1039099	0.1020298	0.1190171	0.122196	0.1022757	0.110153	0.08656882	0.09601811	0.1424192	0.1337645	0.1153244	0.1653437	0.1297342	0.1208385	0.1645794	0.1338912	0.1348264	0.1339572	0.108054	0.1200482	0.110209	0.1526316	0.1524469	0.1151559	0.1194098	0.1036503	0.1333067	0.1255086	0.1232447	0.09205283	0.09466301	0.09811695	0.1111684	0.143931	0.2165133	0.1251582	0.1280116	0.1117329	0.1203043	0.1238737	0.177409	0.1059748	0.1244335	0.1260714	0.1174089	0.1006572	0.1149765	0.1581256	0.1110561	0.2478687	0.09184166	0.2133688	0.102272	0.1141649	0.1520477	0.1176059	0.1582053	0.1199637	0.1037895	0.1274884	0.108802	0.1021918	0.13898	0.1048729	0.1135911	0.1168624	0.1259783	0.1556211	0.168169	0.1043345	0.1002939	0.1109413
cg20667364	HIF3A	0.6761538	0.6041212	0.5039495	0.8596674	0.6529038	0.627558	0.7598896	0.7184219	0.8096139	0.7605008	0.7249097	0.647745	0.6544471	0.4838358	0.6047208	0.6991237	0.490638	0.8524333	0.701927	0.4631107	0.6322902	0.577433	0.7310858	0.6321689	0.6772592	0.7257085	0.7593544	0.8570119	0.7450837	0.8477196	0.798169	0.8251231	0.6763203	0.7556536	0.7127732	0.7081323	0.6661284	0.7283592	0.6698484	0.4406553	0.7276923	0.5594779	0.6804496	0.5221843	0.7340952	0.1376316	0.201464	0.3270923	0.3274964	0.3577763	0.5386569	0.3408037	0.5857027	0.5814497	0.5469052	0.5202754	0.3148631	0.452046	0.3919069	0.3422193	0.4741996	0.262634	0.4527202	0.3305785	0.1568336	0.414866	0.4444974	0.1816603	0.4576029	0.363076	0.7020182	0.3858382	0.3257113	0.3334716	0.618633	0.7547511	0.7375782	0.6966476	0.7171913	0.4660556	0.6247031	0.7438933	0.6829819	0.7784517	0.6593874	0.6543346	0.7118218
cg22974467	PAK1	0.5338742	0.6898302	0.6409894	0.6748102	0.6603907	0.6258594	0.6755575	0.6578025	0.698281	0.658289	0.6498423	0.6252803	0.6538387	0.7099797	0.6847619	0.6319512	0.6777689	0.7103865	0.7129703	0.6521932	0.6569678	0.6033077	0.6683711	0.6481361	0.7744879	0.7059881	0.7128808	0.7399179	0.6567333	0.6040373	0.6199251	0.6033473	0.6687019	0.7890847	0.7037329	0.6207944	0.6747201	0.6874842	0.5921804	0.7026409	0.5870435	0.4934247	0.6795293	0.6933258	0.6783304	0.2917826	0.2854268	0.3536513	0.3357143	0.3798206	0.4494011	0.4173228	0.3475892	0.3683884	0.3160779	0.393643	0.2996633	0.3349057	0.4215982	0.3517222	0.3677157	0.3389968	0.4375	0.2989664	0.2392569	0.3518313	0.467088	0.3393471	0.4099657	0.3996105	0.3257762	0.4178534	0.354528	0.270672	0.557377	0.6653963	0.5828482	0.584141	0.6880734	0.6387755	0.6060401	0.5316742	0.6089948	0.7406855	0.733789	0.6382551	0.6841405
cg12117658	BZRAP1	0.04017195	0.0636663	0.0681845	0.03042042	0.04035772	0.04987981	0.01693168	0.03910387	0.03232094	0.02889998	0.02860901	0.03213927	0.03254949	0.02703306	0.03069158	0.02601918	0.02023523	0.03565002	0.02978503	0.02699356	0.03368513	0.03121903	0.02209058	0.0405037	0.05728809	0.03469495	0.04555314	0.04783855	0.02808599	0.04074602	0.0306941	0.004717837	0.02464729	0.03301344	0.0285462	0.02090075	0.02539208	0.02598283	0.02896607	0.030044	0.02311293	0.02977309	0.02767528	0.0252257	0.01955617	0.05434991	0.03882046	0.05115984	0.03057997	0.03720445	0.04142466	0.04334934	0.03199736	0.01495957	0.03184183	0.03867087	0.01984408	0.02372677	0.0358018	0.0293155	0.02969413	0.03021382	0.03512118	0.02159696	0.02702339	0.01878074	0.02627896	0.0223721	0.02724646	0.02447648	0.02595674	0.02078922	0.02391753	0.02786564	0.03803295	0.03901622	0.03121748	0.02708864	0.02083078	0.02938634	0.02894895	0.03461117	0.03359417	0.01876032	0.02888617	0.02098336	0.02136752
cg00743991	PTPRN	0.8224286	0.8455666	0.805988	0.8647742	0.7934261	0.857017	0.8453215	0.808243	0.8324354	0.8444864	0.8328201	0.8525987	0.847365	0.8617266	0.8492547	0.8450117	0.8509972	0.8424802	0.8507234	0.8145607	0.8336567	0.8617244	0.8618095	0.8203156	0.847984	0.8485574	0.8221154	0.8505996	0.842855	0.8386037	0.8152391	0.8646011	0.8215347	0.863354	0.851576	0.8261883	0.807447	0.8574834	0.8435158	0.8773071	0.845919	0.8252113	0.8549033	0.8559189	0.8550389	0.8666027	0.8531679	0.8274251	0.7859778	0.8412557	0.8071238	0.8198909	0.82342	0.8414562	0.827476	0.799674	0.8286527	0.8110347	0.8292606	0.8400081	0.8335344	0.8308337	0.8025974	0.8329092	0.8325589	0.8030762	0.8296396	0.7752957	0.8271886	0.8057792	0.7771985	0.8182003	0.8370708	0.8225022	0.8328149	0.8359063	0.8135996	0.8640895	0.8793222	0.8417472	0.8452284	0.764586	0.8102327	0.8444965	0.8330591	0.8189754	0.8531281
cg19681897	SLC35F3	0.864488	0.8859301	0.8607411	0.918458	0.8398069	0.8933698	0.8805673	0.9021211	0.8508734	0.9114529	0.8765872	0.884205	0.8712603	0.8814444	0.9016308	0.8955726	0.8846595	0.8866869	0.8604254	0.8579586	0.8984011	0.8813134	0.8758369	0.888366	0.9004636	0.9062316	0.8418221	0.8988696	0.8647782	0.8945095	0.8827487	0.9067851	0.8785734	0.8868723	0.8599832	0.8737776	0.8320757	0.8502177	0.9145736	0.8839254	0.8785478	0.8679057	0.9019782	0.8886534	0.8981459	0.8706575	0.8938861	0.862654	0.8615303	0.8606942	0.8666332	0.8678859	0.8712012	0.8733819	0.8770236	0.8556659	0.8688822	0.8585754	0.9049397	0.8843367	0.8722088	0.8455271	0.8630311	0.8662265	0.8746919	0.8651356	0.880805	0.8658622	0.8879812	0.8395668	0.8809204	0.83377	0.8922414	0.8617131	0.8360656	0.8882058	0.8778275	0.8758521	0.8675991	0.8832399	0.8729974	0.87964	0.8720205	0.8741853	0.9125251	0.8626195	0.890599
cg25468618	FAM83H	0.6447258	0.5992802	0.6029574	0.5989162	0.6638469	0.5815049	0.6298292	0.52624	0.631184	0.6101965	0.6546511	0.5697061	0.5362064	0.5850572	0.6165602	0.6155613	0.5680176	0.6076251	0.7548287	0.5533111	0.5390345	0.5678859	0.6045346	0.6207306	0.7391825	0.631056	0.6084201	0.5934493	0.6456921	0.5708712	0.7063018	0.6576083	0.8246343	0.6852489	0.5534269	0.608471	0.4858423	0.5425014	0.5729948	0.8442824	0.6133928	0.5379457	0.5138246	0.5215818	0.7633476	0.9131628	0.956329	0.945995	0.7844969	0.9545974	0.7708213	0.7569736	0.8677155	0.897351	0.9354246	0.8026136	0.9027528	0.8924348	0.9273198	0.9573804	0.9304817	0.9288737	0.7204694	0.9129476	0.8487709	0.8500836	0.7772748	0.7639357	0.9721498	0.906528	0.8885345	0.9115352	0.9226303	0.89191	0.543956	0.6029549	0.5994461	0.6296731	0.6743627	0.5467764	0.5851324	0.5230337	0.5808913	0.536379	0.7740421	0.6621946	0.6312713
cg13921444	SORBS2	0.4391491	0.3306399	0.4717465	0.4859433	0.5667334	0.4881588	0.5085564	0.4475932	0.4869487	0.5486756	0.4771368	0.5838619	0.4064246	0.5470734	0.5209472	0.5060508	0.5912524	0.455804	0.5354491	0.4291322	0.4989804	0.4240838	0.5415697	0.557093	0.3987884	0.4129273	0.5843686	0.6343091	0.5751295	0.5409888	0.4918033	0.4012048	0.5525243	0.5147647	0.5565978	0.4715262	0.339333	0.4508309	0.5129843	0.5072812	0.5029652	0.7970323	0.5414408	0.5964161	0.7003112	0.1224398	0.0559108	0.1509653	0.1616983	0.1687365	0.2003427	0.1181055	0.1918581	0.1897655	0.1577198	0.08338381	0.1362133	0.1004795	0.189525	0.07951864	0.1503819	0.1203311	0.1228606	0.1054659	0.09193054	0.2018309	0.2237674	0.103568	0.2550696	0.1709143	0.1085737	0.1521739	0.1573124	0.1698524	0.5325456	0.5694153	0.5918603	0.622909	0.5642905	0.5153264	0.4655281	0.4414481	0.4049664	0.4933085	0.5128559	0.363742	0.5372323
